Congregate Dining Meal Count Application,Days,Days,Number,10,NOT NULL,days of month
Congregate Dining Meal Count Application,Days,ID,Number,10,NOT NULL,Unique row ID for days table
Congregate Dining Meal Count Application,Days,Month,Number,10,NOT NULL,month of year
Congregate Dining Meal Count Application,Days,Year,Number,10,NOT NULL,years
Congregate Dining Meal Count Application,Dinings,DateDining,Text,50,NOT NULL,Days of dining
Congregate Dining Meal Count Application,Dinings,ID,Number,10,NOT NULL,Unique row ID for dining
Congregate Dining Meal Count Application,Dinings,MealID,Number,10,NOT NULL,Unique row ID for meal
Congregate Dining Meal Count Application,Dinings,MealOrdered,Number,50,NOT NULL,Orders of meal
Congregate Dining Meal Count Application,Dinings,ProjectIncome,Text,50,NOT NULL,Project Income
Congregate Dining Meal Count Application,Dinings,RegionID,Number,10,NOT NULL,Unique row ID for region
Congregate Dining Meal Count Application,Dinings,SecondsParticip,Number,50,NOT NULL,Seconds participant
Congregate Dining Meal Count Application,Dinings,Served60,Number,50,NOT NULL,Served senior 60 articipant
Congregate Dining Meal Count Application,Dinings,ServedParticip,Number,50,NOT NULL,Served participant
Congregate Dining Meal Count Application,Dinings,SiteID,Number,10,NOT NULL,Unique row ID for site
Congregate Dining Meal Count Application,Dinings,StatuID,Number,10,NOT NULL,Unique row ID for statu
Congregate Dining Meal Count Application,Dinings,TurnAways,Number,50,NOT NULL,Meals of trunaways
Congregate Dining Meal Count Application,Meals,ID,Number,10,NOT NULL,Unique row ID for meals table
Congregate Dining Meal Count Application,Meals,Name,Text,50,NOT NULL,Name of meals
Congregate Dining Meal Count Application,Meals,Price,Text,50,NOT NULL,Price of meal
Congregate Dining Meal Count Application,Regions,ID,Number,10,NOT NULL,Unique row ID for region table
Congregate Dining Meal Count Application,Regions,Name,Text,50,NOT NULL,Name of regions
Congregate Dining Meal Count Application,Status,ID,Number,10,NOT NULL,Unique row ID for status table
Congregate Dining Meal Count Application,Status,Status,Text,50,NOT NULL,Status of open/close
